date_added,hq,name,sector,symbol
2015-03-17,"Melville, New York",Henry Schein,Health Care,HSIC
1957-03-04,"Hershey, Pennsylvania",Hershey Company (The),Consumer Staples,HSY
2015-11-02,Houston,Hewlett Packard Enterprise,Information Technology,HPE
2017-06-19,"Tysons Corner, Virginia",Hilton Worldwide,Consumer Discretionary,HLT
2016-03-30,"Marlborough, Massachusetts",Hologic,Health Care,HOLX
1988-03-31,Atlanta,Home Depot (The),Consumer Discretionary,HD
1957-03-04,"Charlotte, North Carolina",Honeywell,Industrials,HON
2009-03-04,"Austin, Minnesota",Hormel Foods,Consumer Staples,HRL
2007-03-20,"Bethesda, Maryland",Host Hotels & Resorts,Real Estate,HST
2016-10-21,Pittsburgh,Howmet Aerospace,Industrials,HWM
1974-12-31,"Palo Alto, California",HP Inc.,Information Technology,HPQ
2023-10-18,"Shelton, Connecticut",Hubbell Incorporated,Industrials,HUBB
2012-12-10,"Louisville, Kentucky",Humana,Health Care,HUM
1997-08-28,"Columbus, Ohio",Huntington Bancshares,Financials,HBAN
2018-01-03,"Newport News, Virginia",Huntington Ingalls Industries,Industrials,HII
1957-03-04,"Armonk, New York",IBM,Information Technology,IBM
2019-08-09,"Northbrook, Illinois",IDEX Corporation,Industrials,IEX
2017-01-05,"Westbrook, Maine",Idexx Laboratories,Health Care,IDXX
1986-02-28,"Glenview, Illinois",Illinois Tool Works,Industrials,ITW
2017-02-28,"Wilmington, Delaware",Incyte,Health Care,INCY
2020-03-03,"Davidson, North Carolina",Ingersoll Rand,Industrials,IR
2023-03-15,"Acton, Massachusetts",Insulet Corporation,Health Care,PODD
1976-12-31,"Santa Clara, California",Intel,Information Technology,INTC
2025-08-28,"Greenwich, Connecticut",Interactive Brokers,Financials,IBKR
2007-09-26,Atlanta,Intercontinental Exchange,Financials,ICE
1976-03-31,New York City,International Flavors & Fragrances,Materials,IFF
1957-03-04,"Memphis, Tennessee",International Paper,Materials,IP
1992-10-01,New York City,Interpublic Group of Companies (The),Communication Services,IPG
2000-12-05,"Mountain View, California",Intuit,Information Technology,INTU
2008-06-02,"Sunnyvale, California",Intuitive Surgical,Health Care,ISRG
2008-08-21,Atlanta,Invesco,Financials,IVZ
2022-09-19,Dallas,Invitation Homes,Real Estate,INVH
2017-08-29,"Durham, North Carolina",IQVIA,Health Care,IQV
2009-01-06,"Portsmouth, New Hampshire",Iron Mountain,Real Estate,IRM
2015-07-01,"Lowell, Arkansas",J.B. Hunt,Industrials,JBHT
2023-12-18,"St. Petersburg, Florida",Jabil,Information Technology,JBL
2018-11-13,"Monett, Missouri",Jack Henry & Associates,Financials,JKHY
2007-10-26,Dallas,Jacobs Solutions,Industrials,J
1973-06-30,"New Brunswick, New Jersey",Johnson & Johnson,Health Care,JNJ
2010-08-27,"Cork, Ireland",Johnson Controls,Industrials,JCI
1975-06-30,New York City,JPMorgan Chase,Financials,JPM
1989-09-11,Chicago,Kellanova,Consumer Staples,K
2023-08-25,"Skillman, New Jersey",Kenvue,Consumer Staples,KVUE
2022-06-21,"Burlington, Massachusetts",Keurig Dr Pepper,Consumer Staples,KDP
1994-03-01,Cleveland,KeyCorp,Financials,KEY
2018-11-06,"Santa Rosa, California",Keysight Technologies,Information Technology,KEYS
1957-03-04,"Irving, Texas",Kimberly-Clark,Consumer Staples,KMB
2006-04-04,"Jericho, New York",Kimco Realty,Real Estate,KIM
2012-05-25,Houston,Kinder Morgan,Energy,KMI
2024-06-24,New York City,KKR & Co.,Financials,KKR
1997-09-30,"Milpitas, California",KLA Corporation,Information Technology,KLAC
2015-07-06,Chicago,Kraft Heinz,Consumer Staples,KHC
1957-03-04,Cincinnati,Kroger,Consumer Staples,KR
2008-09-22,"Melbourne, Florida",L3Harris,Industrials,LHX
2004-11-01,"Burlington, North Carolina",Labcorp,Health Care,LH
2012-06-29,"Fremont, California",Lam Research,Information Technology,LRCX
2018-12-03,"Eagle, Idaho",Lamb Weston,Consumer Staples,LW
