date_added,hq,name,sector,symbol
1976-06-30,New York City,American Express,Financials,AXP
1980-03-31,New York City,American International Group,Financials,AIG
2007-11-19,Boston,American Tower,Real Estate,AMT
2016-03-04,"Camden, New Jersey",American Water Works,Utilities,AWK
2005-10-03,Minneapolis,Ameriprise Financial,Financials,AMP
2013-09-23,"Berwyn, Pennsylvania",Ametek,Industrials,AME
1992-01-02,"Thousand Oaks, California",Amgen,Health Care,AMGN
2008-09-30,"Wallingford, Connecticut",Amphenol,Information Technology,APH
1999-10-12,"Wilmington, Massachusetts",Analog Devices,Information Technology,ADI
1996-04-23,London,Aon plc,Financials,AON
1997-07-28,Houston,APA Corporation,Energy,APA
2024-12-23,New York City,Apollo Global Management,Financials,APO
1982-11-30,"Cupertino, California",Apple Inc.,Information Technology,AAPL
1995-03-16,"Santa Clara, California",Applied Materials,Information Technology,AMAT
2025-09-22,"Palo Alto, California",AppLovin,Information Technology,APP
2012-12-24,Dublin,Aptiv,Consumer Discretionary,APTV
2022-11-01,"Hamilton, Bermuda",Arch Capital Group,Financials,ACGL
1957-03-04,Chicago,Archer Daniels Midland,Consumer Staples,ADM
2018-08-28,"Santa Clara, California",Arista Networks,Information Technology,ANET
2016-05-31,"Rolling Meadows, Illinois",Arthur J. Gallagher & Co.,Financials,AJG
2007-04-10,Atlanta,Assurant,Financials,AIZ
1983-11-30,Dallas,AT&T,Communication Services,T
2019-02-15,Dallas,Atmos Energy,Utilities,ATO
1989-12-01,San Francisco,Autodesk,Information Technology,ADSK
1981-03-31,"Roseland, New Jersey",Automatic Data Processing,Industrials,ADP
1997-01-02,"Memphis, Tennessee",AutoZone,Consumer Discretionary,AZO
2007-01-10,"Arlington, Virginia",AvalonBay Communities,Real Estate,AVB
1987-12-31,"Mentor, Ohio",Avery Dennison,Materials,AVY
2023-05-04,"Scottsdale, Arizona",Axon Enterprise,Industrials,AXON
2017-07-07,Houston,Baker Hughes,Energy,BKR
1984-10-31,"Broomfield, Colorado",Ball Corporation,Materials,BALL
1976-06-30,"Charlotte, North Carolina",Bank of America,Financials,BAC
1972-09-30,"Deerfield, Illinois",Baxter International,Health Care,BAX
1972-09-30,"Franklin Lakes, New Jersey",Becton Dickinson,Health Care,BDX
2010-02-16,"Omaha, Nebraska",Berkshire Hathaway,Financials,BRK.B
1999-06-29,"Richfield, Minnesota",Best Buy,Consumer Discretionary,BBY
2021-08-30,Minneapolis,Bio-Techne,Health Care,TECH
2003-11-13,"Cambridge, Massachusetts",Biogen,Health Care,BIIB
2011-04-04,New York City,BlackRock,Financials,BLK
2023-09-18,New York City,Blackstone Inc.,Financials,BX
2025-07-23,,"Block, Inc.",Financials,XYZ
1995-03-31,New York City,BNY Mellon,Financials,BK
1957-03-04,"Arlington, Virginia",Boeing,Industrials,BA
2009-11-06,"Norwalk, Connecticut",Booking Holdings,Consumer Discretionary,BKNG
1995-02-24,"Marlborough, Massachusetts",Boston Scientific,Health Care,BSX
1957-03-04,New York City,Bristol Myers Squibb,Health Care,BMY
2014-05-08,"Palo Alto, California",Broadcom,Information Technology,AVGO
2018-06-18,"Lake Success, New York",Broadridge Financial Solutions,Industrials,BR
2021-09-20,"Daytona Beach, Florida",Brown & Brown,Financials,BRO
1982-10-31,"Louisville, Kentucky",Brown–Forman,Consumer Staples,BF.B
2023-12-18,"Irving, Texas",Builders FirstSource,Industrials,BLDR
2023-03-15,"Chesterfield, Missouri",Bunge Global,Consumer Staples,BG
2006-04-03,Boston,"BXP, Inc.",Real Estate,BXP
2007-03-02,"Eden Prairie, Minnesota",C.H. Robinson,Industrials,CHRW
2017-09-18,"San Jose, California",Cadence Design Systems,Information Technology,CDNS
2022-04-04,Houston,Camden Property Trust,Real Estate,CPT
1957-03-04,"Camden, New Jersey",Campbell's Company (The),Consumer Staples,CPB
1998-07-01,"Tysons Corner, Virginia",Capital One,Financials,COF
1997-05-27,"Dublin, Ohio",Cardinal Health,Health Care,CAH
2010-06-28,"Richmond, Virginia",CarMax,Consumer Discretionary,KMX
1998-12-22,Miami,Carnival,Consumer Discretionary,CCL
2020-04-03,"Palm Beach Gardens, Florida",Carrier Global,Industrials,CARR
1957-03-04,"Irving, Texas",Caterpillar Inc.,Industrials,CAT
2017-03-01,Chicago,Cboe Global Markets,Financials,CBOE
2006-11-10,Dallas,CBRE Group,Real Estate,CBRE
2019-09-23,"Vernon Hills, Illinois",CDW Corporation,Information Technology,CDW
2001-08-30,"Conshohocken, Pennsylvania",Cencora,Health Care,COR
2016-03-30,St. Louis,Centene Corporation,Health Care,CNC
1985-07-31,Houston,CenterPoint Energy,Utilities,CNP
2008-08-27,"Deerfield, Illinois",CF Industries,Materials,CF
2021-05-14,"Wilmington, Massachusetts",Charles River Laboratories,Health Care,CRL
1997-06-02,"Westlake, Texas",Charles Schwab Corporation,Financials,SCHW
2016-09-08,"Stamford, Connecticut",Charter Communications,Communication Services,CHTR
1957-03-04,Houston,Chevron Corporation,Energy,CVX
2011-04-28,"Newport Beach, California",Chipotle Mexican Grill,Consumer Discretionary,CMG
2010-07-15,"Zurich, Switzerland",Chubb Limited,Financials,CB
2015-12-29,"Ewing, New Jersey",Church & Dwight,Consumer Staples,CHD
1976-06-30,"Bloomfield, Connecticut",Cigna,Health Care,CI
1997-12-18,"Fairfield, Ohio",Cincinnati Financial,Financials,CINF
2001-03-01,"Mason, Ohio",Cintas,Industrials,CTAS
1993-12-01,"San Jose, California",Cisco,Information Technology,CSCO
1988-05-31,New York City,Citigroup,Financials,C
2016-01-29,"Providence, Rhode Island",Citizens Financial Group,Financials,CFG
1969-03-31,"Oakland, California",Clorox,Consumer Staples,CLX
2006-08-11,Chicago,CME Group,Financials,CME
1957-03-04,"Jackson, Michigan",CMS Energy,Utilities,CMS
1957-03-04,Atlanta,Coca-Cola Company (The),Consumer Staples,KO
2006-11-17,"Teaneck, New Jersey",Cognizant,Information Technology,CTSH
2025-05-19,New York City,Coinbase,Financials,COIN
1957-03-04,New York City,Colgate-Palmolive,Consumer Staples,CL
2002-11-19,Philadelphia,Comcast,Communication Services,CMCSA
1983-08-31,Chicago,Conagra Brands,Consumer Staples,CAG
1957-03-04,Houston,ConocoPhillips,Energy,COP
1957-03-04,New York City,Consolidated Edison,Utilities,ED
2005-07-01,"Rochester, New York",Constellation Brands,Consumer Staples,STZ
2022-02-02,Baltimore,Constellation Energy,Utilities,CEG
2016-09-23,"San Ramon, California",Cooper Companies (The),Health Care,COO
2018-07-02,Dallas,Copart,Industrials,CPRT
1995-02-27,"Corning, New York",Corning Inc.,Information Technology,GLW
2018-06-20,Atlanta,Corpay,Financials,CPAY
2019-06-03,Indianapolis,Corteva,Materials,CTVA
2022-09-19,"Washington, D.C.",CoStar Group,Real Estate,CSGP
1993-10-01,"Issaquah, Washington",Costco,Consumer Staples,COST
2008-06-23,Houston,Coterra,Energy,CTRA
2024-06-24,"Austin, Texas",CrowdStrike,Information Technology,CRWD
2012-03-14,Houston,Crown Castle,Real Estate,CCI
